Size=2048, m_tile=32, n_tile=32, k_tile=32, TFLOPS=19.59
Size=2048, m_tile=32, n_tile=32, k_tile=64, TFLOPS=20.75
Size=2048, m_tile=32, n_tile=32, k_tile=128, TFLOPS=26.10
Size=2048, m_tile=32, n_tile=64, k_tile=32, TFLOPS=26.29
Size=2048, m_tile=32, n_tile=64, k_tile=64, TFLOPS=33.54
Size=2048, m_tile=32, n_tile=64, k_tile=128, TFLOPS=31.89
Size=2048, m_tile=32, n_tile=128, k_tile=32, TFLOPS=39.93
Size=2048, m_tile=32, n_tile=128, k_tile=64, TFLOPS=37.15
Size=2048, m_tile=32, n_tile=128, k_tile=128, TFLOPS=35.05
Size=2048, m_tile=64, n_tile=32, k_tile=32, TFLOPS=27.81
Size=2048, m_tile=64, n_tile=32, k_tile=64, TFLOPS=31.13
Size=2048, m_tile=64, n_tile=32, k_tile=128, TFLOPS=27.07
Size=2048, m_tile=64, n_tile=64, k_tile=32, TFLOPS=40.17
Size=2048, m_tile=64, n_tile=64, k_tile=64, TFLOPS=45.11
Size=2048, m_tile=64, n_tile=64, k_tile=128, TFLOPS=41.60
Size=2048, m_tile=64, n_tile=128, k_tile=32, TFLOPS=46.24
Size=2048, m_tile=64, n_tile=128, k_tile=64, TFLOPS=47.16
Size=2048, m_tile=64, n_tile=128, k_tile=128, TFLOPS=48.03
Size=2048, m_tile=128, n_tile=32, k_tile=32, TFLOPS=37.78
Size=2048, m_tile=128, n_tile=32, k_tile=64, TFLOPS=38.29
Size=2048, m_tile=128, n_tile=32, k_tile=128, TFLOPS=34.28
Size=2048, m_tile=128, n_tile=64, k_tile=32, TFLOPS=44.87
Size=2048, m_tile=128, n_tile=64, k_tile=64, TFLOPS=35.77
Size=2048, m_tile=128, n_tile=64, k_tile=128, TFLOPS=49.98
Size=2048, m_tile=128, n_tile=128, k_tile=32, TFLOPS=35.58
Size=2048, m_tile=128, n_tile=128, k_tile=64, TFLOPS=51.91
Size=2048, m_tile=128, n_tile=128, k_tile=128, TFLOPS=22.18
Size=512, m_tile=32, n_tile=32, k_tile=32, TFLOPS=6.55
Size=512, m_tile=32, n_tile=32, k_tile=64, TFLOPS=7.12
Size=512, m_tile=32, n_tile=32, k_tile=128, TFLOPS=7.07
Size=512, m_tile=32, n_tile=64, k_tile=32, TFLOPS=7.99
Size=512, m_tile=32, n_tile=64, k_tile=64, TFLOPS=7.89
Size=512, m_tile=32, n_tile=64, k_tile=128, TFLOPS=7.89
Size=512, m_tile=32, n_tile=128, k_tile=32, TFLOPS=7.67
Size=512, m_tile=32, n_tile=128, k_tile=64, TFLOPS=8.69
Size=512, m_tile=32, n_tile=128, k_tile=128, TFLOPS=8.16
Size=512, m_tile=64, n_tile=32, k_tile=32, TFLOPS=7.76
Size=512, m_tile=64, n_tile=32, k_tile=64, TFLOPS=7.54
Size=512, m_tile=64, n_tile=32, k_tile=128, TFLOPS=8.01
Size=512, m_tile=64, n_tile=64, k_tile=32, TFLOPS=8.30
Size=512, m_tile=64, n_tile=64, k_tile=64, TFLOPS=8.03
Size=512, m_tile=64, n_tile=64, k_tile=128, TFLOPS=7.88
Size=512, m_tile=64, n_tile=128, k_tile=32, TFLOPS=9.30
Size=512, m_tile=64, n_tile=128, k_tile=64, TFLOPS=8.79
Size=512, m_tile=64, n_tile=128, k_tile=128, TFLOPS=8.41
Size=512, m_tile=128, n_tile=32, k_tile=32, TFLOPS=7.70
Size=512, m_tile=128, n_tile=32, k_tile=64, TFLOPS=8.45
Size=512, m_tile=128, n_tile=32, k_tile=128, TFLOPS=7.78
Size=512, m_tile=128, n_tile=64, k_tile=32, TFLOPS=8.77
Size=512, m_tile=128, n_tile=64, k_tile=64, TFLOPS=8.80
Size=512, m_tile=128, n_tile=64, k_tile=128, TFLOPS=9.44
Size=512, m_tile=128, n_tile=128, k_tile=32, TFLOPS=7.52
Size=512, m_tile=128, n_tile=128, k_tile=64, TFLOPS=8.67
Size=512, m_tile=128, n_tile=128, k_tile=128, TFLOPS=5.49
